Pten,,,,,,,Ifnb1,,,Glo1,,,,,,,
Pycr1,,,,,,,Ikbkg,,,Gstp1,,,,,,,
Rpl13,,,,,,,Il19,,,Hbxip,,,,,,,
Rpl19,,,,,,,Inha,,,Hdac1,,,,,,,
Rpl23,,,,,,,Inhba,,,Hdac3,,,,,,,
Rpl27a,,,,,,,Jmy,,,Hgf,,,,,,,
Rpl5,,,,,,,Lalba,,,Hipk3,,,,,,,
Rps5,,,,,,,Lck,,,Hsp90b1,,,,,,,
Shmt1,,,,,,,Lta,,,Hspa1a,,,,,,,
Snrpb,,,,,,,Mal,,,Hspa9,,,,,,,
Srm,,,,,,,Map3k10,,,Hspb1,,,,,,,
Srsf1,,,,,,,Mapk1,,,Htatip2,,,,,,,
Tert,,,,,,,Ndufs3,,,Htt,,,,,,,
Top1,,,,,,,Ngfr,,,Ier3,,,,,,,
Trp53,,,,,,,Nlrp1a,,,Igf1,,,,,,,
Tpi1,,,,,,,Nlrp3,,,Igf1r,,,,,,,
Tyms,,,,,,,Nme3,,,Il10,,,,,,,
Ube2c,,,,,,,Notch2,,,Il1a,,,,,,,
,,,,,,,Nudt2,,,Il2,,,,,,,
,,,,,,,Nupr1,,,Il31ra,,,,,,,
,,,,,,,Pdcd5,,,Malt1,,,,,,,
,,,,,,,Plagl1,,,Mcl1,,,,,,,
,,,,,,,Plagl2,,,Mkl1,,,,,,,
,,,,,,,Plekhf1,,,Mpo,,,,,,,
,,,,,,,Plg,,,Mtl5,,,,,,,
,,,,,,,Pmaip1,,,Mybl2,,,,,,,
,,,,,,,Ppp1r13b,,,Myo18a,,,,,,,
,,,,,,,Ppp2ca,,,Naip1,,,,,,,
,,,,,,,Ppp2r1a,,,Nfkb1,,,,,,,
,,,,,,,Ppp2r1b,,,Nme5,,,,,,,
,,,,,,,Prkce,,,Nol3,,,,,,,
,,,,,,,Prkra,,,Notch2,,,,,,,
,,,,,,,Prune2,,,Ntf3,,,,,,,
,,,,,,,Pten,,,Pak7,,,,,,,
,,,,,,,Pth,,,Pax7,,,,,,,
,,,,,,,Pycard,,,Pea15a,,,,,,,
,,,,,,,Rps3a,,,Pik3ca,,,,,,,
